Date,City,Population_Millions,PM2_5,AQI,AQI_Category,Respiratory_Admissions_per_100k,Respiratory_Admissions_EstCases,Cardiovascular_Admissions_per_100k,Cardiovascular_Admissions_EstCases,Asthma_ER_Visits_per_100k,Asthma_ER_Visits_EstCases,Mortality_per_100k,Mortality_EstCases,Health_Risk_Index,City Code
23-01-2022,Chennai,11.5,48.3,80,Satisfactory,2.264,260,3.054,351,1.529,176,0.229,26,27.5,TN001
24-01-2022,Chennai,11.5,53.8,90,Satisfactory,2.165,249,3.37,388,1.787,205,0.257,30,29.9,TN001
25-01-2022,Chennai,11.5,30.3,500,Severe,2.212,254,2.92,336,1.618,186,0.226,26,27.3,TN001
26-01-2022,Chennai,11.5,60.4,500,Severe,2.313,266,2.912,335,1.771,204,0.224,26,28.2,TN001
27-01-2022,Chennai,11.5,51.3,85,Satisfactory,2.449,282,2.848,327,1.611,185,0.253,29,28.7,TN001
28-01-2022,Chennai,11.5,66.5,120,Moderate,2.566,295,3.159,363,1.659,191,0.263,30,30.3,TN001
29-01-2022,Chennai,11.5,60.2,500,Severe,2.444,281,3.078,354,1.514,174,0.27,31,29.3,TN001
30-01-2022,Chennai,11.5,66.5,120,Moderate,2.513,289,3.098,356,1.685,194,0.28,32,30.7,TN001
31-01-2022,Chennai,11.5,47.4,79,Satisfactory,2.176,250,3.36,386,1.428,164,0.237,27,27.6,TN001
01-02-2022,Chennai,11.5,65.8,117,Moderate,2.226,256,3.119,359,1.618,186,0.269,31,29.2,TN001
02-02-2022,Chennai,11.5,75,149,Moderate,2.47,284,2.917,335,1.72,198,0.287,33,30.5,TN001
03-02-2022,Chennai,11.5,63.3,109,Moderate,2.352,270,3.36,386,1.566,180,0.278,32,30.1,TN001
04-02-2022,Chennai,11.5,63.5,110,Moderate,2.632,303,3.511,404,1.668,192,0.265,30,31.3,TN001
05-02-2022,Chennai,11.5,58.1,97,Satisfactory,2.055,236,3.311,381,1.551,178,0.245,28,28,TN001
06-02-2022,Chennai,11.5,52.1,87,Satisfactory,2.379,274,3.067,353,1.329,153,0.236,27,27.2,TN001
07-02-2022,Chennai,11.5,63.2,109,Moderate,2.433,280,3.283,378,1.7,195,0.251,29,29.9,TN001
08-02-2022,Chennai,11.5,43.5,72,Satisfactory,2.15,247,3.003,345,1.596,184,0.23,26,27.3,TN001
09-02-2022,Chennai,11.5,52.9,88,Satisfactory,2.165,249,3.013,346,1.522,175,0.285,33,28.9,TN001
10-02-2022,Chennai,11.5,41.2,68,Satisfactory,2.197,253,3.106,357,1.52,175,0.234,27,27.5,TN001
11-02-2022,Chennai,11.5,50.4,84,Satisfactory,2.061,237,3.177,365,1.802,207,0.273,31,29.8,TN001
12-02-2022,Chennai,11.5,61.9,104,Moderate,2.547,293,3.203,368,1.688,194,0.275,32,30.8,TN001
13-02-2022,Chennai,11.5,60.7,500,Severe,2.714,312,3.562,410,1.554,179,0.249,29,30.6,TN001
14-02-2022,Chennai,11.5,56.7,94,Satisfactory,2.269,261,3.226,371,1.629,187,0.253,29,29.1,TN001
15-02-2022,Chennai,11.5,57.7,96,Satisfactory,2.232,257,3.408,392,1.656,190,0.251,29,29.4,TN001
16-02-2022,Chennai,11.5,39.9,66,Satisfactory,2.06,237,3.558,409,1.493,172,0.226,26,27.6,TN001
17-02-2022,Chennai,11.5,52.9,88,Satisfactory,2.147,247,3.108,357,1.563,180,0.249,29,28,TN001
18-02-2022,Chennai,11.5,50.2,83,Satisfactory,2.204,253,3.215,370,1.403,161,0.292,34,29.1,TN001
19-02-2022,Chennai,11.5,50.4,84,Satisfactory,2.452,282,3.344,385,1.553,179,0.252,29,29.5,TN001
20-02-2022,Chennai,11.5,61.2,102,Moderate,2.786,320,3.263,375,1.491,171,0.251,29,30,TN001
21-02-2022,Chennai,11.5,48.5,81,Satisfactory,2.178,250,3.126,359,1.448,166,0.234,27,27.2,TN001
22-02-2022,Chennai,11.5,50.7,84,Satisfactory,2.164,249,3.637,418,1.528,176,0.241,28,28.8,TN001
23-02-2022,Chennai,11.5,37.8,62,Satisfactory,2.07,238,3.353,386,1.556,179,0.221,25,27.4,TN001
24-02-2022,Chennai,11.5,53.2,89,Satisfactory,2.362,272,2.797,322,1.393,160,0.238,27,26.9,TN001
25-02-2022,Chennai,11.5,46.3,77,Satisfactory,2.313,266,3.426,394,1.518,175,0.25,29,29,TN001
26-02-2022,Chennai,11.5,56.3,94,Satisfactory,2.328,268,3.525,405,1.454,167,0.242,28,28.7,TN001
27-02-2022,Chennai,11.5,47.4,79,Satisfactory,2.211,254,3.401,391,1.753,202,0.209,24,28.4,TN001
28-02-2022,Chennai,11.5,56.4,94,Satisfactory,2.504,288,3.361,387,1.454,167,0.239,28,28.8,TN001
01-03-2022,Chennai,11.5,54.2,90,Satisfactory,2.41,277,3.504,403,1.576,181,0.258,30,30,TN001
02-03-2022,Chennai,11.5,69.8,131,Moderate,2.484,286,3.455,397,1.533,176,0.263,30,30.1,TN001
03-03-2022,Chennai,11.5,59.6,99,Satisfactory,2.382,274,3.344,385,1.644,189,0.262,30,30,TN001
04-03-2022,Chennai,11.5,39.3,65,Satisfactory,2.208,254,3.16,363,1.312,151,0.206,24,25.8,TN001
05-03-2022,Chennai,11.5,44.2,73,Satisfactory,2.16,248,2.955,340,1.672,192,0.21,24,27,TN001
06-03-2022,Chennai,11.5,55.6,93,Satisfactory,2.383,274,2.948,339,1.823,210,0.235,27,29.1,TN001
07-03-2022,Chennai,11.5,47,78,Satisfactory,2.327,268,3.318,382,1.659,191,0.24,28,29.1,TN001
08-03-2022,Chennai,11.5,29.3,49,Good,2.261,260,3.228,371,1.488,171,0.205,24,26.8,TN001
09-03-2022,Chennai,11.5,66.5,120,Moderate,2.143,246,3.257,375,1.601,184,0.258,30,28.8,TN001
10-03-2022,Chennai,11.5,61,101,Moderate,2.385,274,3.072,353,1.516,174,0.253,29,28.6,TN001
11-03-2022,Chennai,11.5,59.2,99,Satisfactory,2.285,263,3.011,346,1.484,171,0.236,27,27.5,TN001
12-03-2022,Chennai,11.5,49.4,82,Satisfactory,2.161,249,3.113,358,1.504,173,0.258,30,28.1,TN001
13-03-2022,Chennai,11.5,58.3,97,Satisfactory,2.426,279,3.361,387,1.655,190,0.277,32,30.7,TN001
14-03-2022,Chennai,11.5,48.4,80,Satisfactory,2.301,265,3.605,415,1.509,174,0.249,29,29.3,TN001
15-03-2022,Chennai,11.5,56.2,94,Satisfactory,2.641,304,3.211,369,1.574,181,0.267,31,30.4,TN001
16-03-2022,Chennai,11.5,46.4,77,Satisfactory,2.333,268,3.223,371,1.575,181,0.238,27,28.5,TN001
17-03-2022,Chennai,11.5,67.3,123,Moderate,2.326,268,3.49,401,1.738,200,0.268,31,30.8,TN001
18-03-2022,Chennai,11.5,40.6,67,Satisfactory,2.225,256,3.129,360,1.697,195,0.233,27,28.4,TN001
19-03-2022,Chennai,11.5,64.7,114,Moderate,2.19,252,3.329,383,1.473,169,0.262,30,28.6,TN001
20-03-2022,Chennai,11.5,54.3,90,Satisfactory,2.475,285,3.364,387,1.772,204,0.258,30,30.8,TN001
21-03-2022,Chennai,11.5,49.7,83,Satisfactory,2.326,267,3.395,390,1.693,195,0.228,26,29.1,TN001
22-03-2022,Chennai,11.5,55.3,92,Satisfactory,2.356,271,3.221,370,1.664,191,0.26,30,29.7,TN001
23-03-2022,Chennai,11.5,60.1,500,Severe,2.184,251,3.141,361,1.579,182,0.28,32,29.3,TN001
24-03-2022,Chennai,11.5,65.5,116,Moderate,2.47,284,3.3,380,1.593,183,0.258,30,29.8,TN001
25-03-2022,Chennai,11.5,56.3,94,Satisfactory,2.185,251,2.888,332,1.695,195,0.235,27,27.8,TN001
26-03-2022,Chennai,11.5,45.8,76,Satisfactory,2.189,252,3.221,370,1.514,174,0.251,29,28.2,TN001
27-03-2022,Chennai,11.5,53.9,90,Satisfactory,2.32,267,3.371,388,1.397,161,0.253,29,28.5,TN001
28-03-2022,Chennai,11.5,69,128,Moderate,2.294,264,3.612,415,1.637,188,0.273,31,30.6,TN001
29-03-2022,Chennai,11.5,64.9,114,Moderate,2.245,258,3.438,395,1.573,181,0.254,29,29.2,TN001
30-03-2022,Chennai,11.5,61,101,Moderate,2.33,268,2.74,315,1.718,198,0.262,30,28.9,TN001
31-03-2022,Chennai,11.5,59.9,100,Satisfactory,2.473,284,3.503,403,1.477,170,0.255,29,29.6,TN001
01-04-2022,Chennai,11.5,59,98,Satisfactory,2.453,282,3.513,404,1.841,212,0.256,29,31.3,TN001
02-04-2022,Chennai,11.5,62.9,107,Moderate,2.446,281,3.068,353,1.617,186,0.266,31,29.6,TN001
03-04-2022,Chennai,11.5,48.8,81,Satisfactory,2.345,270,3.103,357,1.4,161,0.232,27,27.3,TN001
04-04-2022,Chennai,11.5,40.9,68,Satisfactory,2.177,250,3.414,393,1.53,176,0.218,25,27.6,TN001
05-04-2022,Chennai,11.5,53.2,89,Satisfactory,2.454,282,3.212,369,1.621,186,0.227,26,28.7,TN001
06-04-2022,Chennai,11.5,45.4,75,Satisfactory,2.026,233,3.052,351,1.661,191,0.227,26,27.3,TN001
07-04-2022,Chennai,11.5,43.3,72,Satisfactory,2.311,266,3.011,346,1.543,177,0.227,26,27.5,TN001
08-04-2022,Chennai,11.5,46.1,77,Satisfactory,2.38,274,3.668,422,1.564,180,0.244,28,29.7,TN001
09-04-2022,Chennai,11.5,73.7,144,Moderate,2.388,275,3.457,398,1.681,193,0.29,33,31.4,TN001
10-04-2022,Chennai,11.5,53.3,89,Satisfactory,2.2,253,3.148,362,1.466,169,0.204,23,26.4,TN001
11-04-2022,Chennai,11.5,55.1,92,Satisfactory,2.303,265,3.485,401,1.591,183,0.247,28,29.3,TN001
12-04-2022,Chennai,11.5,41.3,68,Satisfactory,2.141,246,3.127,360,1.526,175,0.233,27,27.4,TN001
13-04-2022,Chennai,11.5,35.9,59,Satisfactory,2.286,263,3.346,385,1.442,166,0.218,25,27.4,TN001
14-04-2022,Chennai,11.5,44.6,74,Satisfactory,2.386,274,3.27,376,1.367,157,0.232,27,27.6,TN001
15-04-2022,Chennai,11.5,64,111,Moderate,2.415,278,3.187,367,1.591,183,0.262,30,29.5,TN001
16-04-2022,Chennai,11.5,54.4,91,Satisfactory,2.359,271,3.302,380,1.643,189,0.242,28,29.2,TN001
17-04-2022,Chennai,11.5,56.6,94,Satisfactory,2.422,278,3.321,382,1.736,200,0.252,29,30.2,TN001
18-04-2022,Chennai,11.5,57.7,96,Satisfactory,2.443,281,3.377,388,1.58,182,0.228,26,28.9,TN001
19-04-2022,Chennai,11.5,46.1,77,Satisfactory,2.16,248,3.476,400,1.535,177,0.224,26,27.9,TN001
20-04-2022,Chennai,11.5,63.1,108,Moderate,2.131,245,3.68,423,1.597,184,0.255,29,29.5,TN001
21-04-2022,Chennai,11.5,45.6,76,Satisfactory,2.301,265,3.243,373,1.575,181,0.226,26,28.1,TN001
22-04-2022,Chennai,11.5,63.1,108,Moderate,2.478,285,2.877,331,1.577,181,0.246,28,28.5,TN001
23-04-2022,Chennai,11.5,54.7,91,Satisfactory,2.088,240,3.377,388,1.64,189,0.255,29,29,TN001
24-04-2022,Chennai,11.5,35.3,58,Satisfactory,2.224,256,3.067,353,1.295,149,0.21,24,25.7,TN001
25-04-2022,Chennai,11.5,44.2,73,Satisfactory,2.409,277,2.837,326,1.591,183,0.255,29,28.6,TN001
26-04-2022,Chennai,11.5,35.2,58,Satisfactory,2.199,253,3.245,373,1.462,168,0.211,24,26.8,TN001
27-04-2022,Chennai,11.5,60.5,500,Severe,2.548,293,3.321,382,1.601,184,0.25,29,29.9,TN001
28-04-2022,Chennai,11.5,50.2,83,Satisfactory,2.468,284,3.032,349,1.416,163,0.227,26,27.5,TN001
29-04-2022,Chennai,11.5,31,51,Satisfactory,2.171,250,2.876,331,1.482,170,0.201,23,25.7,TN001
30-04-2022,Chennai,11.5,53.5,89,Satisfactory,2.25,259,3.47,399,1.631,188,0.25,29,29.4,TN001
01-05-2022,Chennai,11.5,45.5,76,Satisfactory,2.215,255,3.26,375,1.651,190,0.219,25,28,TN001
02-05-2022,Chennai,11.5,37.2,61,Satisfactory,2.241,258,2.977,342,1.512,174,0.224,26,27,TN001
03-05-2022,Chennai,11.5,64.4,113,Moderate,2.188,252,3.384,389,1.662,191,0.273,31,30,TN001
04-05-2022,Chennai,11.5,50.8,84,Satisfactory,2.101,242,3.109,358,1.628,187,0.225,26,27.4,TN001
05-05-2022,Chennai,11.5,47.2,78,Satisfactory,1.961,226,3.276,377,1.483,171,0.213,25,26.3,TN001
06-05-2022,Chennai,11.5,46.2,77,Satisfactory,2.263,260,3.227,371,1.669,192,0.254,29,29.3,TN001
07-05-2022,Chennai,11.5,36.5,60,Satisfactory,2.492,287,2.641,304,1.385,159,0.203,23,25.8,TN001
08-05-2022,Chennai,11.5,38.2,63,Satisfactory,1.962,226,3.15,362,1.589,183,0.23,26,27.1,TN001
09-05-2022,Chennai,11.5,60.5,500,Severe,2.309,266,3.204,368,1.503,173,0.234,27,28,TN001
10-05-2022,Chennai,11.5,45.2,75,Satisfactory,2.232,257,3.022,348,1.417,163,0.237,27,27.1,TN001
11-05-2022,Chennai,11.5,49.4,82,Satisfactory,2.26,260,2.941,338,1.485,171,0.248,29,27.6,TN001
12-05-2022,Chennai,11.5,31.5,52,Satisfactory,2.363,272,3.058,352,1.54,177,0.208,24,27.1,TN001
13-05-2022,Chennai,11.5,37.7,62,Satisfactory,2.107,242,3.061,352,1.418,163,0.204,23,25.7,TN001
14-05-2022,Chennai,11.5,54.2,90,Satisfactory,2.035,234,3.331,383,1.666,192,0.234,27,28.1,TN001
15-05-2022,Chennai,11.5,52.1,87,Satisfactory,2.221,255,3.168,364,1.578,182,0.233,27,27.9,TN001
16-05-2022,Chennai,11.5,63.9,111,Moderate,2.257,260,3.27,376,1.515,174,0.249,29,28.5,TN001
17-05-2022,Chennai,11.5,60.3,500,Severe,2.022,232,3.299,379,1.587,183,0.206,24,26.8,TN001
18-05-2022,Chennai,11.5,46.6,77,Satisfactory,2.301,265,3.081,354,1.623,187,0.216,25,27.6,TN001
19-05-2022,Chennai,11.5,52.6,87,Satisfactory,2.133,245,3.007,346,1.7,195,0.232,27,27.8,TN001
20-05-2022,Chennai,11.5,45.7,76,Satisfactory,2.252,259,3.585,412,1.616,186,0.232,27,29,TN001
21-05-2022,Chennai,11.5,66.1,118,Moderate,2.311,266,3.248,374,1.732,199,0.25,29,29.6,TN001
22-05-2022,Chennai,11.5,58.2,97,Satisfactory,2.174,250,3.184,366,1.603,184,0.257,30,28.7,TN001
23-05-2022,Chennai,11.5,49.7,83,Satisfactory,2.405,277,3.454,397,1.525,175,0.229,26,28.7,TN001
24-05-2022,Chennai,11.5,49.9,83,Satisfactory,2.245,258,3.546,408,1.546,178,0.247,28,29.1,TN001
25-05-2022,Chennai,11.5,60.6,500,Severe,2.343,269,3.517,404,1.751,201,0.272,31,31.1,TN001
26-05-2022,Chennai,11.5,53,88,Satisfactory,2.379,274,3.125,359,1.499,172,0.248,29,28.4,TN001
27-05-2022,Chennai,11.5,61.4,102,Moderate,2.38,274,3.308,380,1.622,186,0.266,31,30,TN001
28-05-2022,Chennai,11.5,28.9,48,Good,2.204,253,3.195,367,1.511,174,0.203,23,26.6,TN001
29-05-2022,Chennai,11.5,51.8,86,Satisfactory,2.179,251,3.623,417,1.552,178,0.254,29,29.3,TN001
30-05-2022,Chennai,11.5,43.3,72,Satisfactory,2.102,242,3.233,372,1.658,191,0.214,25,27.4,TN001
31-05-2022,Chennai,11.5,62.8,107,Moderate,2.368,272,3.338,384,1.659,191,0.255,29,29.8,TN001
01-06-2022,Chennai,11.5,61,101,Moderate,2.202,253,3.042,350,1.635,188,0.262,30,28.8,TN001
02-06-2022,Chennai,11.5,47.8,79,Satisfactory,2.382,274,2.936,338,1.576,181,0.234,27,27.9,TN001
03-06-2022,Chennai,11.5,60.7,500,Severe,2.318,267,3.5,403,1.724,198,0.258,30,30.4,TN001
04-06-2022,Chennai,11.5,62.8,107,Moderate,2.438,280,3.315,381,1.585,182,0.242,28,29.2,TN001
05-06-2022,Chennai,11.5,48,80,Satisfactory,2.14,246,3.261,375,1.495,172,0.248,28,28,TN001
06-06-2022,Chennai,11.5,68.6,127,Moderate,2.212,254,3.487,401,1.696,195,0.249,29,29.6,TN001
07-06-2022,Chennai,11.5,46.9,78,Satisfactory,2.498,287,3.333,383,1.609,185,0.219,25,28.8,TN001
08-06-2022,Chennai,11.5,45.3,75,Satisfactory,2.241,258,3.3,380,1.597,184,0.246,28,28.8,TN001
09-06-2022,Chennai,11.5,54.6,91,Satisfactory,2.433,280,3.33,383,1.365,157,0.265,30,29,TN001
10-06-2022,Chennai,11.5,44,73,Satisfactory,2.064,237,3.183,366,1.538,177,0.235,27,27.4,TN001
11-06-2022,Chennai,11.5,47.7,79,Satisfactory,2.234,257,3.214,370,1.562,180,0.232,27,27.9,TN001
12-06-2022,Chennai,11.5,59.1,98,Satisfactory,2.51,289,3.407,392,1.673,192,0.236,27,29.8,TN001
13-06-2022,Chennai,11.5,47,78,Satisfactory,2.057,237,2.993,344,1.452,167,0.22,25,26.1,TN001
14-06-2022,Chennai,11.5,32.2,53,Satisfactory,2.501,288,2.906,334,1.545,178,0.21,24,27.3,TN001
15-06-2022,Chennai,11.5,49.9,83,Satisfactory,2.311,266,3.201,368,1.508,173,0.233,27,27.9,TN001
16-06-2022,Chennai,11.5,40.7,67,Satisfactory,2.13,245,3.169,364,1.519,175,0.196,23,26.2,TN001
17-06-2022,Chennai,11.5,54.2,90,Satisfactory,2.353,271,3.345,385,1.717,197,0.251,29,29.9,TN001
18-06-2022,Chennai,11.5,52.6,87,Satisfactory,2.449,282,3.155,363,1.597,184,0.217,25,28.1,TN001
19-06-2022,Chennai,11.5,59.3,99,Satisfactory,2.214,255,3.079,354,1.626,187,0.232,27,27.9,TN001
20-06-2022,Chennai,11.5,54.4,91,Satisfactory,2.211,254,3.322,382,1.64,189,0.238,27,28.7,TN001
21-06-2022,Chennai,11.5,55.9,93,Satisfactory,2.347,270,3.473,399,1.659,191,0.252,29,29.9,TN001
22-06-2022,Chennai,11.5,40.7,67,Satisfactory,2.302,265,3.21,369,1.276,147,0.228,26,26.7,TN001
23-06-2022,Chennai,11.5,53.4,89,Satisfactory,2.273,261,2.922,336,1.663,191,0.244,28,28.3,TN001
24-06-2022,Chennai,11.5,63.4,109,Moderate,2.406,277,3.304,380,1.749,201,0.242,28,29.8,TN001
25-06-2022,Chennai,11.5,40.4,67,Satisfactory,2.353,271,2.776,319,1.536,177,0.226,26,27.1,TN001
26-06-2022,Chennai,11.5,61.9,104,Moderate,2.366,272,3.235,372,1.443,166,0.276,32,29.3,TN001
27-06-2022,Chennai,11.5,41.5,69,Satisfactory,2.151,247,2.766,318,1.464,168,0.228,26,26.2,TN001
28-06-2022,Chennai,11.5,38.9,64,Satisfactory,2.229,256,3.052,351,1.412,162,0.233,27,27,TN001
29-06-2022,Chennai,11.5,48.8,81,Satisfactory,2.518,290,3.277,377,1.566,180,0.208,24,28.2,TN001
30-06-2022,Chennai,11.5,52.4,87,Satisfactory,2.341,269,3.142,361,1.589,183,0.245,28,28.7,TN001
01-07-2022,Chennai,11.5,54.1,90,Satisfactory,2.475,285,3.426,394,1.692,195,0.258,30,30.5,TN001
02-07-2022,Chennai,11.5,37.8,62,Satisfactory,2.158,248,3.169,364,1.641,189,0.23,26,27.9,TN001
03-07-2022,Chennai,11.5,49.9,83,Satisfactory,2.32,267,2.97,342,1.804,207,0.246,28,29.2,TN001
04-07-2022,Chennai,11.5,40.2,67,Satisfactory,2.344,270,3.309,380,1.46,168,0.215,25,27.5,TN001
05-07-2022,Chennai,11.5,33.2,55,Satisfactory,2.403,276,3.235,372,1.494,172,0.22,25,27.8,TN001
06-07-2022,Chennai,11.5,38,63,Satisfactory,2.391,275,3.368,387,1.513,174,0.237,27,28.7,TN001
07-07-2022,Chennai,11.5,39.6,66,Satisfactory,2.085,240,3.27,376,1.459,168,0.223,26,26.9,TN001
08-07-2022,Chennai,11.5,50.5,84,Satisfactory,2.444,281,3.278,377,1.594,183,0.265,31,29.9,TN001
09-07-2022,Chennai,11.5,56,93,Satisfactory,2.547,293,3.023,348,1.664,191,0.231,27,28.9,TN001
10-07-2022,Chennai,11.5,33.3,55,Satisfactory,2.129,245,3.258,375,1.701,196,0.222,26,28,TN001
11-07-2022,Chennai,11.5,49,81,Satisfactory,2.157,248,3.153,363,1.621,186,0.235,27,28,TN001
12-07-2022,Chennai,11.5,35.8,59,Satisfactory,2.214,255,3.269,376,1.408,162,0.2,23,26.3,TN001
13-07-2022,Chennai,11.5,51.4,85,Satisfactory,2.315,266,3.619,416,1.446,166,0.244,28,28.9,TN001
14-07-2022,Chennai,11.5,40.6,67,Satisfactory,2.192,252,3.368,387,1.45,167,0.225,26,27.4,TN001
15-07-2022,Chennai,11.5,36.9,61,Satisfactory,2.064,237,3.177,365,1.571,181,0.207,24,26.6,TN001
16-07-2022,Chennai,11.5,52.9,88,Satisfactory,2.501,288,3.213,370,1.586,182,0.22,25,28.5,TN001
17-07-2022,Chennai,11.5,40.9,68,Satisfactory,2.125,244,3.064,352,1.408,162,0.23,26,26.6,TN001
18-07-2022,Chennai,11.5,43.3,72,Satisfactory,2.184,251,2.714,312,1.457,168,0.231,27,26.3,TN001
19-07-2022,Chennai,11.5,26.8,45,Good,2.19,252,3.085,355,1.563,180,0.21,24,26.8,TN001
20-07-2022,Chennai,11.5,54.2,90,Satisfactory,2.101,242,3.107,357,1.707,196,0.261,30,28.9,TN001
21-07-2022,Chennai,11.5,53.1,88,Satisfactory,2.085,240,3.262,375,1.371,158,0.247,28,27.2,TN001
22-07-2022,Chennai,11.5,46.1,77,Satisfactory,2.207,254,3.069,353,1.575,181,0.224,26,27.4,TN001
23-07-2022,Chennai,11.5,32.8,54,Satisfactory,2.312,266,3.146,362,1.569,180,0.25,29,28.7,TN001
24-07-2022,Chennai,11.5,56.5,94,Satisfactory,2.342,269,3.457,398,1.563,180,0.276,32,30.2,TN001
25-07-2022,Chennai,11.5,40.3,67,Satisfactory,1.961,226,3.169,364,1.619,186,0.224,26,27,TN001
26-07-2022,Chennai,11.5,42.1,70,Satisfactory,2.434,280,2.943,338,1.695,195,0.231,27,28.5,TN001
27-07-2022,Chennai,11.5,66,118,Moderate,2.475,285,3.1,357,1.739,200,0.228,26,29.1,TN001
28-07-2022,Chennai,11.5,40,66,Satisfactory,2.262,260,3.268,376,1.562,180,0.236,27,28.3,TN001
29-07-2022,Chennai,11.5,52.5,87,Satisfactory,2.319,267,3.342,384,1.494,172,0.239,27,28.4,TN001
30-07-2022,Chennai,11.5,51,85,Satisfactory,2.381,274,3.023,348,1.733,199,0.246,28,29.2,TN001
31-07-2022,Chennai,11.5,49.5,82,Satisfactory,2.6,299,3.178,365,1.476,170,0.219,25,28.2,TN001
01-08-2022,Chennai,11.5,48.6,81,Satisfactory,2.398,276,3.351,385,1.612,185,0.246,28,29.4,TN001
02-08-2022,Chennai,11.5,49.5,82,Satisfactory,2.322,267,3.512,404,1.506,173,0.212,24,27.9,TN001
03-08-2022,Chennai,11.5,48.6,81,Satisfactory,2.11,243,3.212,369,1.464,168,0.199,23,26.1,TN001
04-08-2022,Chennai,11.5,45.8,76,Satisfactory,2.286,263,3.128,360,1.672,192,0.256,29,29.2,TN001
05-08-2022,Chennai,11.5,59.3,99,Satisfactory,2.437,280,3.159,363,1.742,200,0.221,25,28.9,TN001
06-08-2022,Chennai,11.5,35,58,Satisfactory,2.198,253,3.141,361,1.404,161,0.197,23,25.8,TN001
07-08-2022,Chennai,11.5,55.2,92,Satisfactory,2.237,257,3.478,400,1.635,188,0.231,27,28.8,TN001
08-08-2022,Chennai,11.5,53.5,89,Satisfactory,2.377,273,3.23,371,1.568,180,0.241,28,28.7,TN001
09-08-2022,Chennai,11.5,52.5,87,Satisfactory,2.16,248,3.293,379,1.466,169,0.209,24,26.7,TN001
10-08-2022,Chennai,11.5,56.1,93,Satisfactory,2.434,280,2.941,338,1.509,173,0.225,26,27.5,TN001
11-08-2022,Chennai,11.5,45.7,76,Satisfactory,2.204,253,3.468,399,1.511,174,0.215,25,27.6,TN001
12-08-2022,Chennai,11.5,30.4,500,Severe,1.913,220,3.341,384,1.505,173,0.208,24,26.2,TN001
13-08-2022,Chennai,11.5,46,76,Satisfactory,2.203,253,3.11,358,1.736,200,0.259,30,29.3,TN001
14-08-2022,Chennai,11.5,38.1,63,Satisfactory,2.22,255,3.11,358,1.608,185,0.231,27,27.9,TN001
15-08-2022,Chennai,11.5,40.4,67,Satisfactory,2.313,266,3.362,387,1.548,178,0.226,26,28.2,TN001
16-08-2022,Chennai,11.5,36,59,Satisfactory,2.276,262,3.671,422,1.496,172,0.209,24,28,TN001
17-08-2022,Chennai,11.5,42.7,71,Satisfactory,2.075,239,2.832,326,1.385,159,0.225,26,25.7,TN001
18-08-2022,Chennai,11.5,41.7,69,Satisfactory,2.261,260,3.05,351,1.473,169,0.224,26,27,TN001
19-08-2022,Chennai,11.5,26.3,44,Good,2.103,242,3.002,345,1.566,180,0.213,24,26.5,TN001
20-08-2022,Chennai,11.5,53,88,Satisfactory,2.249,259,3.4,391,1.669,192,0.246,28,29.3,TN001
21-08-2022,Chennai,11.5,66.2,119,Moderate,2.222,255,3.333,383,1.514,174,0.259,30,28.8,TN001
22-08-2022,Chennai,11.5,52.3,87,Satisfactory,2.288,263,3.098,356,1.548,178,0.25,29,28.4,TN001
23-08-2022,Chennai,11.5,45.3,75,Satisfactory,2.687,309,2.894,333,1.422,164,0.234,27,28.1,TN001
24-08-2022,Chennai,11.5,46.7,78,Satisfactory,2.521,290,3.362,387,1.617,186,0.211,24,28.7,TN001
25-08-2022,Chennai,11.5,43.6,72,Satisfactory,2.118,244,3.117,358,1.575,181,0.213,24,26.8,TN001
26-08-2022,Chennai,11.5,48,80,Satisfactory,2.283,263,2.955,340,1.424,164,0.224,26,26.7,TN001
27-08-2022,Chennai,11.5,47,78,Satisfactory,2.227,256,3.041,350,1.609,185,0.251,29,28.4,TN001
28-08-2022,Chennai,11.5,40.1,66,Satisfactory,2.256,259,3.058,352,1.603,184,0.238,27,28.1,TN001
29-08-2022,Chennai,11.5,62,104,Moderate,2.471,284,3.185,366,1.693,195,0.255,29,29.9,TN001
30-08-2022,Chennai,11.5,34.7,57,Satisfactory,2.195,252,2.918,336,1.479,170,0.22,25,26.5,TN001
31-08-2022,Chennai,11.5,53.8,90,Satisfactory,2.204,253,3.005,346,1.639,189,0.24,28,28,TN001
01-09-2022,Chennai,11.5,46.8,78,Satisfactory,2.426,279,3.621,416,1.642,189,0.237,27,29.9,TN001
02-09-2022,Chennai,11.5,64.2,112,Moderate,2.179,251,3.318,382,1.421,163,0.27,31,28.6,TN001
03-09-2022,Chennai,11.5,50.7,84,Satisfactory,2.313,266,3.11,358,1.629,187,0.245,28,28.7,TN001
04-09-2022,Chennai,11.5,44.8,74,Satisfactory,2.058,237,3.232,372,1.37,158,0.222,26,26.3,TN001
05-09-2022,Chennai,11.5,45.8,76,Satisfactory,2.125,244,3.196,368,1.501,173,0.229,26,27.2,TN001
06-09-2022,Chennai,11.5,48.4,80,Satisfactory,2.378,273,3.005,346,1.537,177,0.24,28,28.1,TN001
07-09-2022,Chennai,11.5,38.2,63,Satisfactory,2.137,246,2.77,319,1.567,180,0.213,24,26.1,TN001
08-09-2022,Chennai,11.5,41.5,69,Satisfactory,1.991,229,3.045,350,1.521,175,0.232,27,26.7,TN001
09-09-2022,Chennai,11.5,32.8,54,Satisfactory,2.107,242,3.07,353,1.555,179,0.225,26,27,TN001
